name,name_id,dob,dod,age,gender,nationality
Tim Anderson,606514,n.a.,n.a.,,M,
Doctor Menghis Bairu,606517,n.a.,n.a.,,M,
Doctor Jim Callaway,606518,1956,n.a.,63,M,
Frank Candido,762507,n.a.,n.a.,,M,
Stephen Sellhausen,606520,1958,n.a.,61,M,
John Hardy Jr,606521,1944,n.a.,75,M,
Elizabeth Bolgiano,606522,1962,n.a.,57,F,
Sal Chiovari,606524,1955,n.a.,64,M,
Adam Weigold,606526,22 Mar 1975,n.a.,44,M,
Molly Dillon,606527,1949,n.a.,70,F,
Mary Hauck,606529,n.a.,n.a.,,F,
Russ Werner,606530,n.a.,n.a.,,M,
Bruno LaCrampe,606532,n.a.,n.a.,,M,
Roger Kearns,606533,1963,n.a.,56,M,
Isabel Taylor,606534,n.a.,n.a.,,F,
Briggs Ferguson,606536,1966,n.a.,53,M,
Elizabeth Feher,606538,1960,n.a.,59,F,
Tavia McCuean,606539,n.a.,n.a.,,F,
Laurence Dors,606541,16 Mar 1956,n.a.,63,F,French
Dan Wollschlager,606543,1951,n.a.,68,M,
Bart Simpson,606546,1971,n.a.,48,M,
Jorge Isaac Filho,606550,n.a.,n.a.,,M,
Steve Rust,606554,1947,n.a.,72,M,
Gary Wagers,606555,1960,n.a.,59,M,
John Wagner,606556,1950,n.a.,69,M,
Don Wharton,606559,n.a.,n.a.,,M,
Eugene Sung,606560,1962,n.a.,57,M,
Gary Carlson,606561,1950,n.a.,69,M,
Marshall Bridges,606562,1969,n.a.,50,M,
Steven Bradford,606563,1957,n.a.,62,M,
Don Granholm,606564,1954,n.a.,65,M,
Laura Thompson,606565,26 Aug 1964,n.a.,54,F,American
Suzie Brown,606566,1959,n.a.,60,F,
John Lieblang,606567,1957,n.a.,62,M,
Mike Kelley,606568,1961,n.a.,58,M,
Todd Wiseley,606569,1969,n.a.,50,M,
Byron Hurey,606570,1947,n.a.,72,M,
Barry Graham,606572,n.a.,n.a.,,M,
Tony Sanchez III,606573,1966,n.a.,53,M,
E Bethel,606575,1963,n.a.,56,M,
Robert Stewart,606576,1949,n.a.,70,M,
Doug Gilbert,606578,n.a.,n.a.,,M,
Andy Jacobson,606579,n.a.,n.a.,,M,
Ehssan Malekian,606580,1969,n.a.,50,M,
Mike McHugh,606581,1947,n.a.,72,M,
Frank Pegueros,606582,1959,n.a.,60,M,
Joel Mariano,606583,n.a.,n.a.,,M,
John Patton Jr,606584,1959,n.a.,60,M,
Brian Ellefson,606585,n.a.,n.a.,,M,
Kathryn Killeen,606586,n.a.,n.a.,,F,
Greg Fahey,606587,1960,n.a.,59,M,
Tom McLoughlin,606588,n.a.,n.a.,,M,
Tony Dunn,606589,n.a.,n.a.,,M,
Charlie Booth,606590,n.a.,n.a.,,M,
Kevin Wirth,606591,n.a.,n.a.,,M,
Jill Cossaboom,606592,01 Dec 1964,n.a.,54,F,Filipino
Laura King,606594,1961,n.a.,58,F,
Winter Graham,606595,n.a.,n.a.,,F,
Andrew Borgstrom,606596,1961,n.a.,58,M,
Samira Badshah,606597,n.a.,n.a.,,F,
Doctor Roger Billingsley,606598,1951,n.a.,68,M,
Sharon Davis,606599,n.a.,n.a.,,F,
Sihem Di Cristo,606600,n.a.,n.a.,,F,French
Marilyn Leon,606601,n.a.,n.a.,,F,
Joe Griffith IV,606602,1975,n.a.,44,M,
William Acevedo,606603,1966,n.a.,53,M,
Tom Anderson,606607,1948,n.a.,71,M,
Bill Bromiley,606610,1962,n.a.,57,M,
Doctor Egil Bodd,606611,15 Mar 1955,n.a.,64,M,
Rusty Cook,606612,1954,n.a.,65,M,
Mike Bayer,606613,n.a.,n.a.,,M,
William Mills,606614,n.a.,n.a.,,M,
Jim Farrell,606615,1966,n.a.,53,M,
Geoff Obeney,606618,1957,n.a.,62,M,
Kathryn Burns,606619,n.a.,n.a.,,F,
Theresa Lewis,606621,n.a.,n.a.,,F,
John Itokazu,606622,1960,n.a.,59,M,
Stephen Hefner,606623,1962,n.a.,57,M,
Bernard Shaw,606624,n.a.,n.a.,,M,
Bill Sengelmann,606625,1958,n.a.,61,M,
Mark Anderson,606626,12 Feb 1954,n.a.,65,M,
Marie Angelini,606628,1958,n.a.,61,F,
Marc Bogan,606629,1967,n.a.,52,M,
David Hope,606637,1941,n.a.,78,M,
Michael Barrow,606639,1954,n.a.,65,M,
Todd Walker,606640,1966,n.a.,53,M,American
Ken Tamaro,606641,1956,n.a.,63,M,
Gabe Tsampalieros,606645,1947,11 Mar 2009,66,M,Greek
John Ferron,606649,1965,n.a.,54,M,
Vis Shankar,606652,02 Feb 1958,n.a.,61,M,Singaporean
Mark Mossing,606653,1957,n.a.,62,M,
Donald Lloyd,606655,n.a.,n.a.,,M,
Tim Schellpeper,606671,1964,n.a.,55,M,
James Sbarro,606676,n.a.,n.a.,,M,
Louis Martinez,606678,1966,n.a.,53,M,
John Church Sr,606681,1966,n.a.,53,M,
Joe Kaveski,606683,1961,n.a.,58,M,
Doctor Rich Shank,606684,n.a.,n.a.,,M,
Tom Turpin,606685,n.a.,n.a.,,M,
Randy Burkhalter,606688,n.a.,n.a.,,M,
Andrew Lombard,606692,1963,n.a.,56,M,
Tony Bumbico,606694,1956,n.a.,63,M,
Allen Kelley,606695,1960,n.a.,59,M,
Jimmy Veal,606697,1949,n.a.,70,M,
Matthew Maletta,606698,06 Apr 1971,n.a.,48,M,American
Cathie Markham,606700,n.a.,n.a.,,F,
Phil Barringer,606702,1953,n.a.,66,M,
Doctor Phil Maisano,606704,1947,n.a.,72,M,
Jon Baum,606705,1961,n.a.,58,M,
Paul Bianchi,606706,1950,n.a.,69,M,
Charlie Cardona Jr,606707,n.a.,n.a.,,M,
Julian Steinberg,606708,1954,n.a.,65,M,
Steve Sabes,606709,1968,n.a.,51,M,
Nagui Halim,606710,n.a.,n.a.,,M,
Rizwan Khalfan,606711,n.a.,n.a.,,M,
Tom Carter Jr,606715,n.a.,n.a.,,M,
Bruce Bilger,606717,1952,n.a.,67,M,
Professor Ken Costa,606718,1949,n.a.,70,M,South African
Terry D'Amore,606719,1956,n.a.,63,M,
Greg Gruenhagen,606720,1953,n.a.,66,M,
Daryl Hunt,606722,1956,n.a.,63,M,
Paul Carter,606725,1960,n.a.,59,M,
Larry Gatta Jr,606726,1960,n.a.,59,M,
Tim Dowling,606727,n.a.,n.a.,,M,
Dave Hansen,606728,n.a.,n.a.,,M,
Ken Jundt,606729,n.a.,n.a.,,M,
Calvin Kaufman,606733,1963,n.a.,56,M,
Alan Houston,606735,n.a.,n.a.,,M,
Brad Freeman,606736,1964,n.a.,55,M,
Douglas Tilghman,606738,1962,n.a.,57,M,
Mark Sawyer,606740,Apr 1969,n.a.,50,M,British
Ramine Rouhani,606741,n.a.,n.a.,,M,
Brian O'Connor,606743,1976,n.a.,43,M,
Paul Curhan,606744,1962,n.a.,57,M,
Glenn Leidahl,606747,1948,n.a.,71,M,
Pieter Varkevisser,606750,n.a.,n.a.,,M,
Burt Damsky,606752,n.a.,n.a.,,M,
Alicia Gabaldon,606754,n.a.,n.a.,,F,
Aaron Bendikson,606758,1973,n.a.,46,M,
Mark Hess,606761,1959,n.a.,60,M,
Victor Barnhart,606766,1942,n.a.,77,M,
Nicole Jones,606767,1970,n.a.,49,F,
Kevin Shifrin,606768,1965,n.a.,54,M,
Doctor Magnus Holm,606769,1963,n.a.,56,M,
Paul Ross,606771,n.a.,n.a.,,M,
Chuck Stewart,606772,1955,n.a.,64,M,
Doug Burcz,606773,n.a.,n.a.,,M,
Judy Batlin,606774,1954,n.a.,65,F,
Kathy Combs,606775,23 Nov 1950,n.a.,68,F,American
Cynthia Eisch,606776,1959,n.a.,60,F,
Ron Loida,606777,n.a.,n.a.,,M,
Brent Callinicos,606778,1965,n.a.,54,M,
Kim Perez,606779,1967,n.a.,52,F,
Doctor Edward Casas,606781,1959,n.a.,60,M,
Michael Myhre,606782,n.a.,n.a.,,M,
Rika Dutau,606783,n.a.,n.a.,,F,
Dan Shugar,606784,1963,n.a.,56,M,
Rick Fletcher,606785,n.a.,n.a.,,M,
Doug Vaughn,606787,n.a.,n.a.,,M,
Vincent Powers,606788,n.a.,n.a.,,M,
Ken Kauppila,606789,n.a.,n.a.,,M,
Professor  Dr Mark Emmert,606791,16 Dec 1952,n.a.,66,M,American
Robert Wright,606792,1959,n.a.,60,M,
Tim Pratt,606793,1950,n.a.,69,M,American
Janet Hansen,606794,1942,n.a.,77,F,
Pawel Wyrzykowski,606795,1969,n.a.,50,M,
Michael Cazer,606796,1967,n.a.,52,M,
Skip Ringo Jr,606797,n.a.,n.a.,,M,
Richard Sawyer,606798,1965,n.a.,54,M,
