name,name_id,company,company_id,in_board,in_supervisory,role,role_start_date,role_end_date
Doctor Shih-Ming Shih,1805919,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Various Positions,,
Assad Jarrahian,1810245,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Software Engineer,2003-05-01,2005-06-01
Gail Redmond,1805841,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Various Positions,,
Maureen Barry,1816030,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Director - Business Development,2014-05-01,
Dan Papes,1806764,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Vice President - Sales,2005-01-01,2007-12-01
Jeff Meyers,1710777,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Engineer,1987-01-01,1991-01-01
Mike Esposito,1705714,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Associate Partner,2006-01-01,2010-01-01
John Metz,1704705,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Various Positions,,
Brian Starr,1705343,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Business Unit Leader,1996-01-01,2001-01-01
Doctor Vineet Singh,1709123,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Various Positions,1995-12-01,1996-01-01
Leigh Newman,1707482,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Programmer,1978-01-01,1992-01-01
Tarun Thakur,1702911,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Various Positions,2005-03-01,2008-07-01
Jason Andersen,1704632,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Senior Manager,2007-01-01,2008-09-01
Bill Bodin,1707623,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Division CTO,2007-02-01,2016-04-01
Vicki Appel,1703803,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Director - Professional Services,2004-01-01,2005-01-01
Jens Vang-Lauridsen,1713042,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Leader,1997-01-01,2000-06-01
Mike Esposito,1705714,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Executive,2010-01-01,2014-01-01
Brian Morris,1705563,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Associate Partner,2004-10-01,2012-07-01
Darragh Curran,1703795,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Intern,2003-06-01,2003-09-01
Steve Holmquist,1704607,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Sales Representative,1984-01-01,1990-01-01
Jim Mayer,754023,International Isotopes Inc,16547,No,No,COO,2008-01-11,2009-01-01
Dan Magid,1705332,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Various Positions,1981-01-01,1987-01-01
Gautam Godhwani,1704547,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Various Positions,,
C Mehringer,1710761,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Analyst,,
Mike Eagan,1712249,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Sales Manager,2001-01-01,2007-01-01
Jason Andersen,1704632,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Leader,2003-01-01,2006-01-01
Bill Nicholson,754056,International Isotopes Inc,16547,Yes,Yes,Chairman,1997-03-01,2001-01-29
Denise Williams,1708922,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,HR Director,2007-05-01,2011-05-01
Tim May,1708032,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Various Positions,1980-01-01,1991-01-01
Jake Levirne,1704560,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Senior Manager,2006-04-01,2012-08-01
Bill Bodin,1707623,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Senior Staff,1999-01-01,2006-01-01
Jens Vang-Lauridsen,1713042,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Sales Representative,2000-06-01,2002-04-01
Denise Williams,1708922,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Regional VP - HR,2011-05-01,2016-04-01
Doctor Prasenjit Sarkar,1702912,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Manager - Systems,2009-07-01,2014-06-01
Matt Mallette,1712975,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Various Positions,,
Buddy Flerl,1710905,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Sales Executive,,
Hari Karunanidhi,1707164,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Software Engineer,2008-06-01,2009-07-01
Doctor Prasenjit Sarkar,1702912,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Researcher,1998-07-01,2002-07-01
Bobby Lee,1708291,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Software Engineer,1996-06-01,1997-05-01
Denise Williams,1708922,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,HR Director,2004-05-01,2007-05-01
Kevin Lee,1710623,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Various Positions,,
Spike Washburn,1708360,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Software Engineer,1995-08-01,1999-09-01
Pierre Chappaz,1711666,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Marketing Director,1995-03-01,1999-10-01
Deirdre Bigley,1713657,INTERNATIONAL BUSINESS MACHINES (IBM) CORP,16506,No,No,Vice President,2002-09-01,2009-09-01
