company_id,university_id,company,university,n_grad,company_lat,company_lng,university_lat,university_lng
10928,63013,EQUITY RESIDENTIAL (Equity Residential Properties Trust prior to 10/2002),Harvard Business School,3,41.8853017,-87.6385569,42.3655147,-71.1221412
10960,63013,ERIE INDEMNITY CO,Harvard Business School,1,42.130601,-80.083889,42.3655147,-71.1221412
10995,63013,ESCO TECHNOLOGIES INC,Harvard Business School,1,38.6368758,-90.3905535,42.3655147,-71.1221412
11074,63013,ESTEE LAUDER COS INC,Harvard Business School,2,40.7636433,-73.9726971,42.3655147,-71.1221412
11099,63013,ETHAN ALLEN INTERIORS INC,Harvard Business School,1,41.3862745,-73.4815486,42.3655147,-71.1221412
11117,63013,E*TRADE FINANCIAL CORP (E Trade Group prior to 10/2003),Harvard Business School,1,40.7567252,-73.9896231,42.3655147,-71.1221412
11239,63013,EURONET WORLDWIDE INC,Harvard Business School,1,38.9284078,-94.6268765,42.3655147,-71.1221412
11340,63013,EXACT SCIENCES CORP,Harvard Business School,2,43.0591858,-89.4742915,42.3655147,-71.1221412
11376,63013,EXELON CORP,Harvard Business School,3,41.8815149,-87.6297872,42.3655147,-71.1221412
11401,63013,EXPEDITORS INTERNATIONAL OF WASHINGTON INC,Harvard Business School,1,47.605838,-122.334683,42.3655147,-71.1221412
11430,63013,EXXON MOBIL CORP,Harvard Business School,1,32.8900057,-96.9499086,42.3655147,-71.1221412
11468,63013,F5 NETWORKS INC,Harvard Business School,1,47.6224109,-122.3638301,42.3655147,-71.1221412
11500,63013,AIRCASTLE LIMITED,Harvard Business School,4,41.0499099,-73.5378788,42.3655147,-71.1221412
11649,63013,FEDERAL REALTY INVESTMENT TRUST,Harvard Business School,1,39.0611389,-77.1271556,42.3655147,-71.1221412
11658,63013,MACY'S INC (Federated Department Stores Inc prior to 06/2007),Harvard Business School,2,39.1033122,-84.5141082,42.3655147,-71.1221412
11700,63013,FERRO CORP,Harvard Business School,1,41.506532,-81.4574,42.3655147,-71.1221412
11964,63013,FIRSTENERGY CORP,Harvard Business School,1,41.083384,-81.5183258,42.3655147,-71.1221412
12153,63013,FLOWSERVE CORP,Harvard Business School,2,32.8712244,-96.9387775,42.3655147,-71.1221412
12159,63013,FLUOR CORP,Harvard Business School,2,32.9008085,-96.9506056,42.3655147,-71.1221412
12164,63013,FMC CORP,Harvard Business School,1,39.9520852,-75.1839951,42.3655147,-71.1221412
12240,63013,FOOT LOCKER INC,Harvard Business School,2,40.7526019,-73.9951169,42.3655147,-71.1221412
12262,63013,FORD MOTOR CO,Harvard Business School,5,42.3145851,-83.2101173,42.3655147,-71.1221412
12299,63013,FORRESTER RESEARCH INC,Harvard Business School,1,42.3982665,-71.1490059,42.3655147,-71.1221412
12366,63013,FORWARD AIR CORP (Landair Services prior to 08/1998),Harvard Business School,1,36.189245,-82.790117,42.3655147,-71.1221412
12407,63013,NEXTERA ENERGY INC (FPL Group Inc prior to 05/2010),Harvard Business School,2,26.8596034,-80.0593728,42.3655147,-71.1221412
12450,63013,FRANKLIN COVEY CO,Harvard Business School,1,40.712867,-111.9490472,42.3655147,-71.1221412
12453,63013,FRANKLIN ELECTRIC CO INC,Harvard Business School,1,40.9995618,-85.2259184,42.3655147,-71.1221412
12493,63013,FREEPORT-MCMORAN INC (Freeport-McMoRan Copper & Gold Inc prior to 07/2014),Harvard Business School,1,33.4517282,-112.073067,42.3655147,-71.1221412
12593,63013,FTI CONSULTING INC,Harvard Business School,1,38.8968172,-77.0274317,42.3655147,-71.1221412
12645,63013,FULTON FINANCIAL CORP,Harvard Business School,1,40.0376352,-76.3056139,42.3655147,-71.1221412
12812,63013,TEGNA INC (Gannett Co Inc prior to 06/2015),Harvard Business School,2,38.9229745,-77.2327641,42.3655147,-71.1221412
12818,63013,GAP INC,Harvard Business School,2,37.7855505,-122.3967177,42.3655147,-71.1221412
12862,63013,GARTNER INC (Gartner Group Inc prior to 08/2001),Harvard Business School,4,41.0304821,-73.5503025,42.3655147,-71.1221412
12897,63013,RYMAN HOSPITALITY PROPERTIES INC (Gaylord Entertainment Co prior to 10/2012),Harvard Business School,1,36.1929452,-86.6881325,42.3655147,-71.1221412
12966,63013,GENERAL AMERICAN INVESTORS CO INC,Harvard Business School,1,40.7552112,-73.9801333,42.3655147,-71.1221412
12977,63013,GCI LIBERTY INC (General Communication Inc prior to 02/2018),Harvard Business School,1,39.5531852,-104.8457211,42.3655147,-71.1221412
12986,63013,GENERAL ELECTRIC CO,Harvard Business School,3,42.3518045,-71.0478268,42.3655147,-71.1221412
